Pregunta,Respuesta,Weights
Respuesta Default,No tengo la informacion necesaria para responderle por favor use el formulario de contacto,0.5 0.5
No entiendo,"Mi informacion es limitada, para preguntas mas especificas por favor use el formulario de contacto.",0.291666666667 0.708333333333
¿Cual es el precio de los lilium?,Los lilium cuestan 3.500 pesos las 10 unidades.,0.128238971118 0.111669271209 0.090744107323 0.159226461858 0.08867458562 0.108573832764 0.312872770109
¿Cual es el precio de los productos?,Los lilium cuestan 3.500 pesos las 10 unidades.,0.15676885551 0.131877939319 0.100444268016 0.203318101372 0.0973354433818 0.127227987943 0.183027404458
¿Cual es el precio de las gerberas?,Las gerberas cuestan 3.500 pesos las 10 unidades.,0.108381594698 0.0976036295776 0.0839925993401 0.128537789208 0.0826464534924 0.113308664467 0.385529269217
¿Cual es el precio de los gladiolos?,Los gladiolos cuestan 3000 pesos las 10 unidades.,0.109739208824 0.0985652729171 0.0844541881431 0.130635920131 0.0830585863522 0.0964778343411 0.397068989291
¿Cuanto cuestan los  lilium?,Los lilium cuestan 3.500 pesos las 10 unidades.,0.180084745763 0.33156779661 0.156779661017 0.33156779661
¿Cuanto cuestan las gerberas?,Las gerberas cuestan 3.500 pesos las 10 unidades.,0.162735849057 0.266509433962 0.162735849057 0.408018867925
¿Cuanto cuestan los gladiolos?,Los gladiolos cuestan 3000 pesos las 10 unidades.,0.163980509745 0.271176911544 0.147488755622 0.417353823088
¿Donde puedo encontrar los precios de las flores?,"Toda la informacion sobre el precio de nuestros productos esta en la seccion de Productos. Si desea obtener un presupuesto para compras, escribanos en contacto o llamenos.",0.134978196806 0.0832080562303 0.279934590419 0.0792257377245 0.171217295209 0.0702655210864 0.0914912787225 0.0896793238023
¿Ofrecen descuentos por pedidos grandes?,"Si es posible, para preguntar por descuentos llama al telefono celular 09-98276460 o escribenos en el formulario de contacto..",0.34 0.16 0.14 0.14 0.22
¿Hacen precio por cantidades grandes?,"Si es posible, para preguntar por descuentos llama al telefono celular 09-98276460 o escribenos en el formulario de contacto..",0.157894736842 0.136842105263 0.167543859649 0.235087719298 0.302631578947
¿Hay una cantidad minima?,No hay pedido minimo,0.183823529412 0.213235294118 0.213235294118 0.389705882353
¿Hay una cantidad maxima?,Para pedidos muy grandes por favor contactate con nosotros,0.183823529412 0.213235294118 0.213235294118 0.389705882353
¿Cuanto es el pedido maximo?,Para pedidos muy grandes por favor contactate con nosotros,0.128635712825 0.117897320515 0.108590713847 0.115340560442 0.529535692371
¿Cuanto es el pedido minimo?,No hay pedido minimo,0.128635712825 0.117897320515 0.108590713847 0.115340560442 0.529535692371
Quiero hacer un pedido,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.269184168013 0.226777059774 0.317245557351 0.186793214863
Quiero comprar lilium,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.260416666667 0.291666666667 0.447916666667
Quiero comprar flores,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.328828828829 0.382882882883 0.288288288288
Muchas Gracias,Muchas Gracias a usted por interesarse en nuestros productos,0.583333333333 0.416666666667
Buenos dias,Muy buenos dias,0.625 0.375
Buenas tardes,Muy buenas tardes,0.375 0.625
Buenas noches,Muy buenas noches,0.375 0.625
Hasta Luego,Hasta Luego,0.5 0.5
Adios chao,Hasta Luego,0.7 0.7
hola buenas,"Hola, ¿como esta hoy?",0.7 0.7
Muy bien gracias,Me alegro.¿Le puedo ayudar en algo?,0.333333333333 0.333333333333 0.333333333333
Muy bien y tu,"Bien tambien, muchas gracias. ¿Le puedo ayudar en algo?",0.278846153846 0.278846153846 0.163461538462 0.278846153846
Hola como estas,Bien gracias. ¿Le puedo ayudar en algo?,0.266666666667 0.366666666667 0.366666666667
¿Como te llamas?,Me llamo Rosa. Un placer atenderlo.,0.179487179487 0.410256410256 0.410256410256
¿Como es tu nombre?,Me llamo Rosa. Un placer atenderlo.,0.149048096192 0.144038076152 0.353456913828 0.353456913828
Yo me llamo,Me llamo Rosa. Un placer atenderlo.,0.416666666667 0.291666666667 0.291666666667
Mi nombre es,Me llamo Rosa. Un placer atenderlo.,0.215646258503 0.582993197279 0.201360544218
con quien hablo?,Me llamo Rosa. Un placer atenderlo.,0.393939393939 0.212121212121 0.393939393939
quien esta hablando?,Me llamo Rosa. Un placer atenderlo.,0.231884057971 0.275362318841 0.492753623188
¿Hacen entregas a domicilio?,"Si, es posible realizar Envios a a distintas localidades.",0.222785206853 0.353165482658 0.127925198496 0.296124111993
¿Hacen Envios a domicilio?,"Si, es posible realizar Envios a a distintas localidades.",0.302888366828 0.130485544352 0.130321446871 0.436304641949
¿Hacen Envios a regiones?,"Si. Cuando realize el pedido, se le enviaran las flores por Tur-Bus.",0.234631054496 0.12838069331 0.128279561459 0.508708690735
¿Envian a Domicilio?,"Si, es posible realizar Envios a a domicilio tras una previa coordinacion durante el pedido.",0.498111425873 0.169499527856 0.33238904627
¿Envian a Regiones?,"Si, es posible realizar Envios a a distintas localidades.",0.415602836879 0.168794326241 0.415602836879
¿Pueden enviar a?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.,0.415602836879 0.415602836879 0.168794326241
¿Cuanto demora el envio?,Visita Correoschile o Turbus para averiguar el tiempo de envio desde Limache por favor.,0.175651230101 0.50488422576 0.14019536903 0.179269175109
¿Cuanto toma el envio?,Visita Correoschile o Turbus para averiguar el tiempo de envio desde Limache por favor.,0.153782894737 0.556743421053 0.133634868421 0.155838815789
¿Quien paga el envio?,El costo del envio corre por parte del comprador.,0.282091561939 0.439183123878 0.131283662478 0.147441651706
¿Con quien hacen el envio?,CorreosChile o Turbus.,0.168199532346 0.209119251754 0.372798129384 0.110911925175 0.138971161341
¿Que empresa hace el envio?,CorreosChile o Turbus.,0.110412947757 0.214542425324 0.443627275973 0.106872545519 0.124544805427
¿Cuanto se demoran en enviar?,"Es posible hacer el envio durante el dia, o para el dia siguiente.",0.119178082192 0.120547945205 0.387671232877 0.128767123288 0.243835616438
¿Hacen envios internacionales?,No.,0.228926677638 0.168586578899 0.602486743463
¿Cuanto cuesta el envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.,0.153782894737 0.556743421053 0.133634868421 0.155838815789
¿Cual es el costo de envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.,0.137487750787 0.121692712363 0.101745835267 0.390208365568 0.0997730672031 0.149092268812
¿Cuanto es el costo de envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios.,0.14383462979 0.121146643619 0.10148372227 0.385839815615 0.0995390377413 0.148156150965
¿Cual es el precio del envio?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios,0.148766309854 0.129681691702 0.10558054535 0.18445702432 0.268726766808 0.162787661966
¿Que cargos de envio hay?,El costo de envio corre por parte del comprador ve a Turbus para ver los precios,0.134079844206 0.324926971762 0.120082765336 0.180331061344 0.240579357352
¿Que metodos de envio tienen?,"En el momento de poner su pedido, podra elegir el metodo de envio. Si usted desea otras opciones distintas a las que ofrecemos durante este proceso, favor de contactarnos directamente antes de finalizar la transaccion.",0.145380875203 0.313938411669 0.126742301459 0.206969205835 0.206969205835
¿Cuales metodos de envio tienen?,"En el momento de poner su pedido, podra elegir el metodo de envio. Si usted desea otras opciones distintas a las que ofrecemos durante este proceso, favor de contactarnos directamente antes de finalizar la transaccion.",0.361682242991 0.21214953271 0.114018691589 0.156074766355 0.156074766355
¿Cuales son los metodos de envio?,"En el momento de poner su pedido, podra elegir el metodo de envio. Si usted desea otras opciones distintas a las que ofrecemos durante este proceso, favor de contactarnos directamente antes de finalizar la transaccion.",0.278507596068 0.229714030384 0.105853440572 0.166979445934 0.0937890974084 0.125156389634
¿Que tan rapido envian mi pedido?,Hacemos el envio de inmediato; tipicamente el mismo dia o al siguiente dia laboral de cuando se puso el pedido.,0.0891056890851 0.273821073141 0.273821073141 0.178577203237 0.0945384944985 0.0901364668979
¿De donde envian los productos?,Todos los productos son enviados desde la quinta region.,0.336363636364 0.218181818182 0.218181818182 0.109090909091 0.118181818182
¿Los envios tienen costo extra?,"Los envios al interior del pais tiene costo adicional, ver tabla de costos en tur-bus.",0.307540598198 0.100914275763 0.114824328443 0.169180199399 0.307540598198
Envios a Arica,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Antofagasta,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Calama,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Tocopilla,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Taltal,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Mejillones,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Maria Elena,"Si, es posible realizar Envios a a distintas localidades.",0.126459981532 0.126416306871 0.290707903866 0.456415807732
Envios a Copiapo,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Caldera,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Tierra Amarilla,"Si, es posible realizar Envios a a distintas localidades.",0.126096563165 0.126063759993 0.373919838421 0.373919838421
Envios a Chañaral,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Diego de Almagro,"Si, es posible realizar Envios a a distintas localidades.",0.101086900625 0.101054386503 0.346726441777 0.104405829317 0.346726441777
Envios a El Salvador,"Si, es posible realizar Envios a a distintas localidades.",0.127141235138 0.127077181095 0.134721207525 0.611060376242
Envios a Vallenar,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Huasco,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Gran La Serena (La Serena y Coquimbo),"Si, es posible realizar Envios a a distintas localidades.",0.0561558300767 0.0561378731466 0.123686713706 0.060422066852 0.123686713706 0.191817871857 0.123686713706 0.0725883450932 0.191817871857
Envios a Andacollo,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Vicuña,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Illapel,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Los Vilos,"Si, es posible realizar Envios a a distintas localidades.",0.127103484233 0.127040559491 0.143365035418 0.602490920859
Envios a Salamanca,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Ovalle,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Combarbala,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Monte Patria,"Si, es posible realizar Envios a a distintas localidades.",0.126641299011 0.126592200323 0.249191625167 0.4975748755
Envios a El Palqui,"Si, es posible realizar Envios a a distintas localidades.",0.127141235138 0.127077181095 0.134721207525 0.611060376242
Envios a Valparaiso,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Concon,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Viña del Mar,"Si, es posible realizar Envios a a distintas localidades.",0.10101254868 0.100982258762 0.329848550411 0.138308091735 0.329848550411
Envios a Villa Alemana,"Si, es posible realizar Envios a a distintas localidades.",0.126641299011 0.126592200323 0.249191625167 0.4975748755
Envios a Quilpue,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Antonio,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a Quillota,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Hijuelas,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a La Calera ,"Si, es posible realizar Envios a a distintas localidades.",0.127109017401 0.127045927137 0.142098105361 0.603746950101
Envios a La Cruz,"Si, es posible realizar Envios a a distintas localidades.",0.129046052875 0.128925017106 0.157801928668 0.584227001351
Envios a San Felipe.,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a Casablanca.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Las Ventanas.,"Si, es posible realizar Envios a a distintas localidades.",0.127048312156 0.126987037861 0.155997790624 0.58996685936
Envios a Quintero.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Los Andes.,"Si, es posible realizar Envios a a distintas localidades.",0.127103484233 0.127040559491 0.143365035418 0.602490920859
Envios a Calle Larga.,"Si, es posible realizar Envios a a distintas localidades.",0.126096563165 0.126063759993 0.373919838421 0.373919838421
Envios a Rinconada.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Esteban.,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a La Ligua.,"Si, es posible realizar Envios a a distintas localidades.",0.127109017401 0.127045927137 0.142098105361 0.603746950101
Envios a Cabildo.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Limache.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Nogales.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a El Melon.,"Si, es posible realizar Envios a a distintas localidades.",0.127141235138 0.127077181095 0.134721207525 0.611060376242
Envios a Olmue.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Algarrobo.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a El Quisco.,"Si, es posible realizar Envios a a distintas localidades.",0.127141235138 0.127077181095 0.134721207525 0.611060376242
Envios a El Tabo.,"Si, es posible realizar Envios a a distintas localidades.",0.127141235138 0.127077181095 0.134721207525 0.611060376242
Envios a Catemu.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Llaillay.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Putaendo.,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Villa Los Almendros.,"Si, es posible realizar Envios a a distintas localidades.",0.101595570587 0.101547839843 0.220731507746 0.113930558586 0.462194523238
Envios a Santa Maria.,"Si, es posible realizar Envios a a distintas localidades.",0.127903261827 0.127816412114 0.289760108686 0.454520217372
Envios a Rancagua,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Machali ,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Gultro,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Codegua,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Doñihue,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Lo Miranda,"Si, es posible realizar Envios a a distintas localidades.",0.126749964477 0.126697615113 0.224310484082 0.522241936328
Envios a Graneros,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Las Cabras,"Si, es posible realizar Envios a a distintas localidades.",0.127048312156 0.126987037861 0.155997790624 0.58996685936
Envios a San Francisco de Mostazal,"Si, es posible realizar Envios a a distintas localidades.",0.084387715949 0.0843561745887 0.0982923866934 0.322678187095 0.0876073485791 0.322678187095
Envios a Peumo,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Punta Diamante,"Si, es posible realizar Envios a a distintas localidades.",0.126459981532 0.126416306871 0.290707903866 0.456415807732
Envios a Quinta de Tilcoco,"Si, es posible realizar Envios a a distintas localidades.",0.10144290293 0.101399739168 0.263769482603 0.105848910093 0.427538965206
Envios a Rengo,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Requinoa,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Vicente de Tagua Tagua,"Si, es posible realizar Envios a a distintas localidades.",0.0724829540443 0.072451412684 0.0863876247887 0.31077342519 0.0757025866743 0.191100998309 0.191100998309
Envios a Pichilemu,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Fernando,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a Chimbarongo,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Nancagua,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Palmilla,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Santa Cruz,"Si, es posible realizar Envios a a distintas localidades.",0.127903261827 0.127816412114 0.289760108686 0.454520217372
Envios a Region del Maule[editar],"Si, es posible realizar Envios a a distintas localidades.",0.101314739693 0.101275409873 0.24922295513 0.149740985043 0.398445910261
Envios a Talca,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Curico,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Linares,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Constitucion,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Clemente,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a Cauquenes,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Hualañe,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Molina,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Teno,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Longavi,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Parral,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Javier,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a Villa Alegre,"Si, es posible realizar Envios a a distintas localidades.",0.126641299011 0.126592200323 0.249191625167 0.4975748755
Envios a Region del Biobio,"Si, es posible realizar Envios a a distintas localidades.",0.101314739693 0.101275409873 0.24922295513 0.149740985043 0.398445910261
Envios a Gran Concepcion,"Si, es posible realizar Envios a a distintas localidades.",0.126459981532 0.126416306871 0.290707903866 0.456415807732
Envios a Talcahuano,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Chiguayante,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Coronel,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Hualqui,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Lota,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Penco,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Tome,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Hualpen,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Chillan ,"Si, es posible realizar Envios a a distintas localidades.",0.170996792499 0.170867258821 0.65813594868
Envios a Chillan Viejo,"Si, es posible realizar Envios a a distintas localidades.",0.126459981532 0.126416306871 0.290707903866 0.456415807732
Envios a Los angeles,"Si, es posible realizar Envios a a distintas localidades.",0.127103484233 0.127040559491 0.143365035418 0.602490920859
Envios a Santa Juana,"Si, es posible realizar Envios a a distintas localidades.",0.126749964477 0.126697615113 0.224310484082 0.522241936328
Envios a Lebu,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Arauco,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Cañete,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Curanilahue,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Los alamos,"Si, es posible realizar Envios a a distintas localidades.",0.127103484233 0.127040559491 0.143365035418 0.602490920859
Envios a Cabrero,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Monte aguila,"Si, es posible realizar Envios a a distintas localidades.",0.126641299011 0.126592200323 0.249191625167 0.4975748755
Envios a Mulchen,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Nacimiento,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Santa Barbara,"Si, es posible realizar Envios a a distintas localidades.",0.126749964477 0.126697615113 0.224310484082 0.522241936328
Envios a Huepil,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Yumbel,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Bulnes,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Coelemu,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Coihueco,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Quillon,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a Quirihue,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
Envios a San Carlos,"Si, es posible realizar Envios a a distintas localidades.",0.127056279672 0.126994767032 0.154173467841 0.591775485456
Envios a Temuco ,"Si, es posible realizar Envios a a distintas localidades.",0.168850358038 0.168785033937 0.662364608024
